77675440,Chanter pour vivre,Emmanuelle,
5404543,I Ran,A Flock of Seagulls,
123784050,Be the First to Believe,A1,
62715076,The Winner Takes It All,ABBA,
62715082,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,
18061411,The Look Of Love (Pt. 1),ABC,
92720046,Back In Black,AC/DC,
92720006,T.N.T.,AC/DC,
92720308,Stick Around,AC/DC,
92720310,Love Song,AC/DC,
92719998,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,
92723006,Rocker,AC/DC,
92723000,Dirty Deeds Done Dirt Cheap,AC/DC,
92723012,Ain't No Fun (Waiting Round to Be a Millionaire),AC/DC,
92720322,R.I.P. (Rock In Peace),AC/DC,
92720324,Carry Me Home,AC/DC,
92720326,Crabsody In Blue,AC/DC,
92720328,Cold Hearted Man,AC/DC,
92719962,You Shook Me All Night Long,AC/DC,
92720332,Snake Eye,AC/DC,
13247244,Borrowed Time,Cueshé,
92720338,Big Gun,AC/DC,
92720340,Cyberspace,AC/DC,
92719900,Highway to Hell,AC/DC,
92720344,"Dog Eat Dog (Live Apollo Theatre, Glasgow, Apr. 30, 1978)",AC/DC,
92722924,Back In Black (Live),AC/DC,
92722894,Guns for Hire,AC/DC,
92720048,You Shook Me All Night Long,AC/DC,
92719810,Jailbreak,AC/DC,
92720036,Hells Bells,AC/DC,
92722980,Whole Lotta Rosie,AC/DC,
92720056,Hard as a Rock,AC/DC,
92720392,"Hail Caesar (Live Plaza De Toros De Las Ventas, Madrid, July, 10, 1996)",AC/DC,
92720396,"You Shook Me All Night Long (Live Plaza De Toros De Las Ventas, Madrid, July, 10, 1996)",AC/DC,
92720086,Safe in New York City,AC/DC,
92720016,For Those About to Rock (We Salute You),AC/DC,
5404565,Stand and Deliver,Adam & The Ants,
73281735,Tout le monde s'amuse,Regrets & Agathe,
5932515,Train Of Thought (Remix),a-ha,
664107,Take On Me,a-ha,
6592992,The Blue Sky,a-ha,
664113,Living A Boy's Adventure Tale,a-ha,
27493681,Sun Always Shines On T.V (In the Style of A-Ha) [Karaoke Version],Ameritz - Karaoke,
6592998,Here I Stand And Face The Rain,a-ha,
118850018,Someone,Air Supply,
5617957,Without You,Air Supply,
362297841,Good Goodbye (feat. Pusha T and Stormzy),Linkin Park,
79542986,Lost In Love,Air Supply,
981877,Chances (Digitally Remastered 1999),Air Supply,
79542990,Every Woman in the World,Air Supply,
79542996,The One That You Love,Air Supply,
546791,Here I Am (Just When I Thought I Was Over You),Air Supply,
3551809,Even the Nights Are Better (Remastered),Air Supply,
67451199,Two Less Lonely People in the World (Karaoke Version With Background Vocals) (Originally Performed By Air Supply),A-Type Player,
13145313,Don't Be Afraid,Air Supply,
13145945,Young Love,Air Supply,
546801,Making Love Out of Nothing at All,Air Supply,
546795,Just as I Am,Air Supply,
3567301,The Power of Love (You Are My Lady),Air Supply,
72412674,Put a Little Love in Your Heart (Karaoke Version) (Originally Performed By Annie Lennox & Al Green),Nice Vibe,
62509939,Gaby oh Gaby (Karaoke With Backing Vocals) (Originally Performed By Alain Bashung),Le Meilleur des Tubes en Karaoke,
18019915,Vertige de l'amour,Alain Bashung,
1014549,I'm Forrest... Forrest Gump,Alan Silvestri,
674958,Black Velvet,Alannah Myles,
730866,School's Out,Alice Cooper,
1014302,Spark in the Dark,Alice Cooper,
1015793,House of Fire,Alice Cooper,
1014978,Why Trust You,Alice Cooper,
1015804,Bed of Nails,Alice Cooper,
1015071,Poison,Alice Cooper,
716446,Big In Japan (Best Of-Version),Alphaville,
2468586,Intro: Happy Birthday,Altered Images,
15666016,Canto Della Terra,Sarah Brightman,
94620714,Era già tutto previsto (Live),Andrea Bocelli,
136407884,Il mare calmo della sera,Andrea Bocelli,
17680017,La Voce Del Silenzio,Andrea Bocelli,
17680027,Vivo Per Lei,Andrea Bocelli,
70604115,Overture/Hannibal,Andrew Lloyd Webber,
74086262,"All I Ask of You (From ""The Phantom of the Opera"")",London Promenade Orchestra,
74086259,"The Music of the Night (From ""The Phantom of the Opera"")",Skitch Henderson,
17418160,"Poor Fool, He Makes Me Laugh (Live At The Royal Albert Hall/2011)",Andrew Lloyd Webber,
3421207,All I Ask Of You,Sarah Brightman,
70604130,Journey to the Cemetery,Andrew Lloyd Webber,
70604133,The Swordfight,Andrew Lloyd Webber,
70604134,We Have All Been Blind,Andrew Lloyd Webber,
70243383,"Don Juan Triumphant/Travel Through Time (From the Soundtrack to the 1989 Film ""Phantom of the Opera"")",Misha Segal,
2241951,Learn to be Lonely,Andrew Lloyd Webber,
8146532,Down Once More/Track Down This Murderer (Medley/Single Album Version),Andrew Lloyd Webber,
18057555,She Is Beautiful (Album Version),Andrew W.K.,
18057550,Party Hard (Album Version),Andrew W.K.,
6058808,Obsession,Animotion,
1666712,Ring My Bell (Re-Record),Anita Ward,
102440050,"Little Problems, Little Lies",Ann Wilson,
29362601,Through Eyes and Glass,Ann Wilson,
89411979,L'hirondelle du faubourg,Anny Flore,
107264004,Best of 2012: Payphone / Call Me Maybe / Wide Awake / Starships / We Are Young,Anthem Lights,
19815001,Antisocial,Anthrax,
17853218,"High Flying, Adored",Andrew Lloyd Webber,
3599511,The Actress Hasn't Learned The Lines (You'd Like To Hear),Antonio Banderas,
77995908,Can't You See,The Marshall Tucker Band,
3599495,Eva And Magaldi / Eva Beware Of The City,Madonna,
904732,Respect,Aretha Franklin,
90630691,A Deeper Love,Aretha Franklin,
92458738,Problem (Instrumental Karaoke Remix Originally Performed by Ariana Grande feat. Iggy Azalea),Liv Taylor,
13981950,Heat of the Moment,Asia,
2670829,Oh les filles !,Au bonheur des dames,
62509945,Au bout de mes rêves (Karaoke With Backing Vocals) (Originally Performed By Jean-Jacques Goldman),Le Meilleur des Tubes en Karaoke,
107742770,For A Better Day,Avicii,
72532971,Wake Me Up,Avicil,
13130987,When You're Gone,Avril Lavigne,
3996200,Raindrops Keep Falling On My Head,BJ Thomas,
608901,"How Come, How Long",Babyface,
15760191,"How Come, How Long",Babyface,
4274196,Get Down (You're the One for Me) (LP Edit No Rap),Backstreet Boys,
14164461,More Than That,Backstreet Boys,
69008503,In a World Like This,Backstreet Boys,
76500432,Breathe,Backstreet Boys,
76500435,Make Believe,Backstreet Boys,
76500436,Try,Backstreet Boys,
76500437,Trust Me,Backstreet Boys,
76500438,Love Somebody,Backstreet Boys,
69008513,Feels Like Home,Backstreet Boys,
45601791,Quit Playing Games With My Heart (Backstreet Boys Karaoke Tribute),The Karaoke Machine,
632286,It's Gotta Be You,Backstreet Boys,
632288,I Need You Tonight,Backstreet Boys,
632290,Don't Want You Back,Backstreet Boys,
632291,Don't Wanna Lose You Now,Backstreet Boys,
632292,Back to Your Heart,Backstreet Boys,
632294,Spanish Eyes,Backstreet Boys,
10458162,No One Else Comes Close,ProSound Tribute Band,
632298,The Perfect Fan,Backstreet Boys,
632300,I'll Be There For You,Backstreet Boys,
633418,You Wrote The Book On Love,Backstreet Boys,
14164457,All I Have to Give,Backstreet Boys,
632283,I Want It That Way,Backstreet Boys,
70222254,If You Stay,Backstreet Boys,
70222263,Weird World,Backstreet Boys,
70222264,Lose It All,Backstreet Boys,
14164466,Inconsolable (Main Version),Backstreet Boys,
70222266,Helpless When She Smiles (Radio Version),Backstreet Boys,
70222267,One in a Million (Main Version),Backstreet Boys,
70222268,Crawling Back to You,Backstreet Boys,
70222269,I Still...,Backstreet Boys,
70222270,Straight Through My Heart (Main Version),Backstreet Boys,
15593985,All of Your Life (You Need Love),Backstreet Boys,
15593987,This Is Us,Backstreet Boys,
15593991,Shattered,Backstreet Boys,
78561475,Feel Like Making Love (Backing Track) [Originally Performed By Bad Company] (With Rythm Guitar),The Rock Army,
7564123,Tarzan boy (Single version;2010 Digital Remaster;),Baltimora,
686807,Cruel Summer,Bananarama,
686620,Venus,Bananarama,
9812696,Paris Latino,Bandolero,
145096694,Rêves Noirs (Instrumental),Bandolero,
104403110,The Way We Were (Originally Performed by Barbra Streisand) (Karaoke Version),Roq Star Karaoke,
625398,Woman In Love,Barbra Streisand,
5404430,Mandy,Barry Manilow,
9812721,On se calme !,Bassline Boys,
3119532,Intergalactic (Digitally Remastered 2005),Beastie Boys,
122184750,"Help! (Anthology 2 Version / Live From The ABC Theatre, Blackpool, UK/1965)",The Beatles,
63358507,You're Gonna Lose That Girl,The Hit Co.,
114778808,Ticket To Ride (Remastered 2015),The Beatles,
114778196,Act Naturally Remastered,The Beatles,
61710504,Tell Me What You See (Coverversion),The Beatles Tribute Band,
114778208,Dizzy Miss Lizzy Remastered,The Beatles,
114778276,Let It Be Remastered,The Beatles,
114778832,Hey Jude (Remastered 2015),The Beatles,
114779132,Revolution 9 Remastered,The Beatles,
114778818,Paperback Writer (Remastered 2015),The Beatles,
114778968,I Should Have Known Better (Remastered),The Beatles,
114778830,Lady Madonna (Remastered 2015),The Beatles,
114778800,Can't Buy Me Love (Remastered 2015),The Beatles,
116425416,Don't Let Me Down Remastered,The Beatles,
114778836,The Ballad Of John And Yoko (Remastered 2015),The Beatles,
3393957,Chinatown (2004 Digital Remaster),Beau Dommage,
139469609,"Stayin' Alive (From ""Saturday Night Fever"" Soundtrack)",Bee Gees,
65312764,Sun,Belinda Carlisle,
19771671,Heaven Is A Place On Earth,Belinda Carlisle,
18018349,Shades Of Michaelangelo Album Version,Belinda Carlisle,
65312768,Leave A Light On,Belinda Carlisle,
19771761,Summer Rain,Belinda Carlisle,
82036922,Live Your Life Be Free Originally Performed By Belinda Carlisle (Tribute Version),New Tribute Kings,
74996856,Flashbacc,Bengee,
74996857,Puppylicious,Bengee,
74996858,Le feu sauvage (Remix),Bengee,
74996863,Chixxx de cirque,Bengee,
74996866,Piteux pitou,Bengee,
64534321,P.I.M.P de l'environnement,Bengee,
370700391,St Lucia,Bernice,
12568403,Doin' the Do (As Made Famous By Betty Boo),The Karaoke Crew,
1131129,(I've Had) The Time of My Life,Bill Medley,
3102238,White Wedding - Part 1 (2001- Remaster),Billy Idol,
3140132,Dancing With Myself (EP Version;2001 Digital Remaster),Generation X,
3140142,Mony Mony (2001 - Remaster),Billy Idol,
3102237,Hot In The City (2001 Digital Remaster),Billy Idol,
353465011,White Wedding (Pt. 1),Billy Idol,
3140135,Rebel Yell (1999 - Remaster),Billy Idol,
3140136,Eyes Without A Face (1999 - Remaster),Billy Idol,
3140137,Flesh For Fantasy (1999 Digital Remaster),Billy Idol,
3140138,Catch My Fall (Edit),Billy Idol,
3102243,To Be A Lover (2001 Digital Remaster),Billy Idol,
3140140,Don't Need A Gun (2001 Digital Remaster),Billy Idol,
3140141,Sweet Sixteen (2001 Digital Remaster),Billy Idol,
3140143,Cradle of Love (2001 - Remaster),Billy Idol,
3140144,L.A. Woman (Single Edit;2001 Digital Remaster),Billy Idol,
3398002,Shock To The System,Billy Idol,
3102250,Don't You (Forget About Me) (2001 Digital Remaster),Billy Idol,
3874960,Crank Call (1999 Digital Remaster),Billy Idol,
548673,Uptown Girl,Billy Joel,
2168810,We Didn't Start the Fire,Billy Joel,
123783374,Loverboy,Billy Ocean,
6071052,Love Is Forever,Billy Ocean,
2168095,Caribbean Queen (No More Love on the Run),Billy Ocean,
123783360,Suddenly,Billy Ocean,
123783362,"Get Outta My Dreams, Get Into My Car",Billy Ocean,
5404485,Love Really Hurts Without You,Billy Ocean,
17442529,Achy Breaky Heart,Billy Ray Cyrus,
10197538,The Stroke,Billy Squier,
76454857,At This Moment,Billy Vera & The Beaters,
17993244,Rockin' On Heaven's Door,Black 'N Blue,
17993245,Autoblast,Black 'N Blue,
2012568,Hold On To 18,Black 'N Blue,
17993247,Wicked Bitch,Black 'N Blue,
17993249,Miss Mystery,Black 'N Blue,
17993250,"Nasty, Nasty",Black 'N Blue,
17993251,I Want It All (I Want It Now),Black 'N Blue,
17993252,Nature Of The Beach,Black 'N Blue,
17993253,Stop The Lightning,Black 'N Blue,
17993254,Bombastic Plastic,Black 'N Blue,
17993255,Suspicious,Black 'N Blue,
17993256,I'll Be There For You,Black 'N Blue,
17993257,Heat It Up! Burn It Out!,Black 'N Blue,
17993258,Does She Or Doesn't She,Black 'N Blue,
17993259,Live It Up,Black 'N Blue,
17993260,Chains Around Heaven,Black 'N Blue,
17993262,School Of Hard Knocks,Black 'N Blue,
17993263,I'm The King,Black 'N Blue,
97285266,Blank Space,I Prevail,
17978660,Can't Find My Way Home,Blind Faith,
3104486,Call Me,Blondie,
3104484,Heart of Glass,Blondie,
53298741,I Pray (Remix),Blossom Child,
113281286,"Gimme, Gimme, Gimme",The BNB,
17479898,Rainy Day Women #12 & 35,Bob Dylan,
3127387,Don't Worry Be Happy,Bobby McFerrin,
17974328,I Like The Way (Radio Edit),Bodyrockers,
17609135,You Give Love A Bad Name,Bon Jovi,
17609118,It's My Life,Bon Jovi,
17609137,Have A Nice Day (Album Version),Bon Jovi,
17605997,Wanted Dead Or Alive,Bon Jovi,
17609122,We Weren't Born To Follow (Album Version),Bon Jovi,
17609125,"Blaze Of Glory (From ""Young Guns II"" Soundtrack)",Jon Bon Jovi,
17605996,Always,Bon Jovi,
17609147,Runaway,Bon Jovi,
17609130,What Do You Got? (Album Version),Bon Jovi,
